product_id,supplier_id,fecha_inicio,fecha_fin,cantidad
62,49,2024-03-19,2024-07-12,94
63,36,2024-03-02,2024-05-18,32
64,76,2024-01-30,2024-12-30,20
65,40,2024-03-05,2024-08-14,23
66,96,2024-01-25,2025-03-13,88
67,69,2024-03-22,2025-01-19,8
68,88,2024-02-25,2024-06-11,57
69,53,2024-03-25,2024-06-27,78
70,50,2024-03-04,2024-07-25,42
71,41,2024-02-23,2024-04-22,24
72,95,2024-01-19,2024-07-31,62
73,33,2024-04-02,2024-06-08,73
74,100,2024-01-04,2024-11-21,94
75,42,2024-02-03,2024-05-02,15
76,69,2024-02-13,2024-09-25,55
77,68,2024-01-08,2024-12-25,87
78,96,2024-03-12,2025-03-05,88
79,49,2024-03-18,2025-03-24,4
80,64,2024-01-04,2024-09-13,23
81,86,2024-04-10,2024-09-28,61
82,53,2024-03-21,2024-05-25,81
83,1,2024-01-20,2024-12-11,92
84,30,2024-03-21,2024-05-29,18
85,3,2024-04-14,2024-04-29,37
86,14,2024-03-25,2024-05-10,89
87,96,2024-03-17,2024-04-20,32
88,77,2024-02-19,2024-05-02,96
89,44,2024-01-04,2025-03-02,85
90,52,2024-03-04,2025-04-06,88
91,69,2024-02-21,2024-04-26,56
92,88,2024-03-17,2025-02-08,39
93,74,2024-02-28,2024-05-11,62
94,100,2024-01-08,2024-05-21,4
95,39,2024-01-29,2024-10-13,17
96,11,2024-01-23,2025-01-08,69
97,29,2024-04-02,2024-06-21,88
98,81,2024-02-24,2024-07-14,9
99,86,2024-01-13,2025-03-15,48
100,82,2024-03-06,2024-06-26,71
101,59,2024-01-14,2024-11-08,1
102,47,2024-01-16,2024-11-05,88
103,88,2024-03-07,2025-03-17,63
104,7,2024-02-25,2025-01-22,49
105,15,2024-03-10,2024-10-13,95
106,13,2024-02-23,2024-05-18,98
107,66,2024-01-06,2025-03-27,69
108,1,2024-02-22,2025-01-04,69
109,83,2024-03-15,2025-01-13,43
110,56,2024-02-12,2024-05-06,58
111,85,2024-03-16,2025-01-16,44
112,49,2024-01-11,2024-12-22,56
113,11,2024-02-28,2024-05-26,79
114,47,2024-02-22,2024-06-18,51
115,74,2024-02-11,2025-02-21,91
116,77,2024-04-02,2025-03-06,52
117,72,2024-02-22,2024-05-01,52
118,53,2024-03-19,2025-03-31,50
119,1,2024-01-14,2025-03-20,59
120,3,2024-03-02,2024-09-15,80
121,13,2024-02-29,2024-08-09,95
122,4,2024-03-25,2025-01-24,81
123,65,2024-01-01,2025-02-07,61
124,66,2024-03-06,2024-05-19,7
125,92,2024-04-10,2024-09-06,92
126,84,2024-04-12,2024-10-28,51
127,34,2024-01-18,2024-10-23,70
128,58,2024-04-14,2024-09-29,89
129,79,2024-04-04,2024-12-29,6
130,77,2024-01-30,2024-09-02,68
131,80,2024-03-17,2024-08-31,49
132,59,2024-01-08,2024-11-01,55
133,10,2024-01-17,2025-04-09,1
134,39,2024-01-04,2024-06-27,58
135,77,2024-02-14,2024-08-08,79
136,8,2024-01-21,2025-02-05,15
137,81,2024-03-28,2024-08-08,79
138,24,2024-01-07,2025-03-03,41
139,6,2024-02-12,2024-05-13,92
140,75,2024-03-14,2024-12-10,1
141,36,2024-03-08,2024-06-26,3
142,37,2024-03-09,2024-08-22,82
143,72,2024-03-02,2024-07-29,60
144,88,2024-01-02,2024-07-30,40
145,43,2024-02-11,2024-05-27,75
146,46,2024-01-05,2024-11-09,95
147,33,2024-03-30,2024-06-20,51
148,28,2024-02-11,2024-06-16,21
149,55,2024-01-21,2025-01-30,36
150,94,2024-02-09,2024-04-29,82
151,66,2024-01-08,2024-12-09,25
152,29,2024-04-15,2024-07-25,27
153,80,2024-01-27,2025-04-04,4
154,22,2024-04-10,2024-08-02,62
155,43,2024-01-23,2024-10-06,69
156,27,2024-01-03,2024-09-01,66
157,94,2024-02-04,2024-12-24,46
158,31,2024-04-01,2025-03-24,68
159,41,2024-02-17,2024-08-23,26
160,27,2024-01-22,2024-05-07,43
161,48,2024-03-19,2024-11-22,62
162,97,2024-01-10,2025-03-14,8
163,66,2024-04-03,2024-04-25,55
164,48,2024-01-27,2025-03-07,31
165,99,2024-01-16,2024-07-10,9
166,84,2024-01-25,2024-05-18,83
167,55,2024-02-06,2024-08-29,30
168,83,2024-02-03,2024-07-04,52
169,97,2024-01-23,2024-08-18,75
170,64,2024-03-25,2024-11-19,26
171,14,2024-03-19,2024-11-08,41
172,29,2024-04-04,2025-02-17,93
173,92,2024-03-15,2025-02-17,72
174,79,2024-03-09,2024-08-06,95
175,13,2024-02-04,2024-07-06,26
176,27,2024-04-04,2024-09-26,36
177,65,2024-03-01,2024-08-21,38
178,12,2024-02-27,2024-07-02,83
179,32,2024-03-18,2024-11-26,100
180,45,2024-04-01,2025-03-17,4
181,31,2024-01-05,2024-10-13,37
182,13,2024-03-28,2025-03-15,37
183,6,2024-03-21,2024-11-11,70
184,97,2024-01-26,2024-06-08,17
185,65,2024-02-21,2025-02-03,15
186,1,2024-01-14,2024-10-01,61
187,21,2024-03-07,2024-07-13,40
188,86,2024-01-09,2024-04-24,87
189,6,2024-03-26,2024-05-02,25
190,7,2024-01-09,2024-07-30,44
191,46,2024-02-29,2025-01-17,48
192,100,2024-03-12,2024-08-13,76
193,28,2024-01-07,2024-11-06,33
194,92,2024-04-07,2024-08-29,37
195,32,2024-04-11,2024-12-30,96
196,34,2024-04-03,2025-02-06,89
197,40,2024-02-06,2024-06-21,22
198,22,2024-04-11,2025-02-24,87
199,84,2024-02-01,2024-05-04,51
200,54,2024-03-17,2025-01-09,50
201,60,2024-01-09,2024-06-25,87
202,66,2024-02-21,2024-08-25,36
203,37,2024-03-02,2024-09-06,94
204,24,2024-04-06,2025-01-20,31
205,39,2024-01-12,2024-11-18,32
206,14,2024-04-03,2024-06-27,35
207,63,2024-01-31,2025-02-28,31
208,50,2024-01-19,2025-03-26,33
209,25,2024-04-13,2024-06-15,76
210,87,2024-04-12,2024-08-01,70
211,58,2024-02-06,2024-10-19,50
212,40,2024-03-31,2025-03-15,13
213,84,2024-02-19,2025-03-10,25
214,11,2024-02-17,2024-12-30,89
215,50,2024-01-22,2024-10-19,81
216,44,2024-01-17,2025-02-25,90
217,5,2024-01-02,2024-08-24,51
218,63,2024-01-14,2024-10-10,32
219,1,2024-02-22,2024-12-28,55
220,24,2024-01-21,2025-03-12,21
221,93,2024-02-02,2024-09-15,75
222,22,2024-03-13,2024-10-16,92
223,65,2024-02-14,2025-01-05,52
224,35,2024-02-18,2024-11-01,91
225,36,2024-01-15,2025-03-26,95
226,79,2024-02-03,2024-09-03,65
227,6,2024-03-24,2025-04-05,42
228,97,2024-03-26,2024-09-06,18
229,64,2024-01-21,2024-05-27,19
230,87,2024-02-19,2024-07-13,35
231,83,2024-03-14,2024-05-19,12
232,67,2024-03-04,2024-05-22,39
233,30,2024-03-24,2024-05-17,36
234,85,2024-03-02,2025-02-13,62
235,13,2024-01-06,2024-06-11,95
236,77,2024-01-09,2024-09-28,16
237,60,2024-03-17,2024-12-03,28
238,44,2024-04-01,2024-06-01,25
239,87,2024-01-12,2024-04-27,2
240,1,2024-04-07,2025-03-29,57
241,35,2024-03-04,2024-05-15,13
242,15,2024-03-30,2024-09-23,82
243,76,2024-01-20,2024-09-05,77
244,77,2024-04-05,2024-11-10,78
245,71,2024-01-26,2025-04-13,89
246,60,2024-04-11,2024-10-10,97
247,54,2024-01-14,2024-08-31,40
248,99,2024-01-31,2024-11-18,33
249,52,2024-02-22,2025-03-26,93
250,67,2024-03-03,2024-12-25,45
251,4,2024-02-25,2024-11-16,13
252,42,2024-03-06,2025-01-11,83
253,69,2024-01-19,2024-11-30,24
254,11,2024-02-19,2024-07-11,13
255,11,2024-04-02,2024-10-15,94
256,36,2024-01-20,2025-01-20,81
257,10,2024-02-24,2024-08-15,17
258,74,2024-02-05,2024-11-14,19
259,43,2024-03-10,2025-01-01,32
260,36,2024-03-28,2024-08-08,74
261,4,2024-04-16,2025-03-02,56
262,29,2024-01-31,2024-09-22,1
263,60,2024-03-18,2024-06-25,38
264,37,2024-03-03,2024-11-24,11
265,88,2024-01-18,2025-04-13,91
266,80,2024-02-25,2024-11-10,99
267,62,2024-04-04,2024-05-27,28
268,1,2024-01-27,2024-07-20,75
269,53,2024-04-15,2024-07-17,86
270,23,2024-02-03,2024-10-22,89
271,15,2024-03-21,2024-10-29,7
272,93,2024-03-27,2024-09-21,11
273,66,2024-03-27,2024-06-25,49
274,93,2024-03-11,2024-10-16,41
275,8,2024-01-08,2024-04-21,21
276,90,2024-02-05,2024-11-02,100
277,11,2024-04-03,2024-08-13,31
278,11,2024-03-07,2024-12-30,42
279,20,2024-03-01,2024-06-11,28
280,22,2024-02-06,2024-12-02,43
281,55,2024-03-22,2024-12-18,25
282,27,2024-03-09,2024-09-03,17
283,53,2024-04-05,2025-04-06,36
284,60,2024-01-14,2025-01-30,54
285,54,2024-02-22,2024-10-30,10
286,14,2024-01-19,2025-04-16,21
287,5,2024-04-11,2025-02-23,9
288,87,2024-02-10,2024-08-19,46
289,58,2024-04-01,2024-11-25,45
290,96,2024-02-04,2024-04-23,9
291,97,2024-02-25,2024-07-09,35
292,69,2024-02-19,2024-09-19,19
293,87,2024-01-03,2025-01-12,90
294,62,2024-04-07,2025-01-30,57
295,85,2024-02-23,2024-11-16,20
296,22,2024-01-02,2024-04-28,55
297,16,2024-01-06,2024-08-01,58
298,73,2024-02-17,2024-12-25,97
299,7,2024-01-22,2024-04-21,89
300,52,2024-04-02,2024-08-22,69
301,90,2024-03-08,2025-04-03,15
302,57,2024-03-30,2024-06-10,82
303,90,2024-01-17,2024-10-06,89
304,7,2024-02-21,2024-06-27,86
305,93,2024-01-29,2024-07-25,58
306,69,2024-01-06,2024-05-28,59
307,43,2024-04-14,2024-07-16,18
308,44,2024-03-11,2024-10-07,53
309,4,2024-01-25,2024-07-27,11
310,40,2024-03-30,2024-08-29,93
311,50,2024-02-12,2024-09-23,93
312,73,2024-03-03,2024-06-23,99
313,73,2024-01-05,2024-11-16,88
314,23,2024-02-04,2025-01-19,5
315,60,2024-02-16,2024-10-21,69
316,73,2024-04-11,2025-02-18,10
317,27,2024-03-19,2024-06-29,71
318,67,2024-04-03,2024-07-25,10
319,31,2024-04-02,2025-03-26,76
320,85,2024-01-01,2024-09-16,25
321,76,2024-01-21,2024-10-06,95
322,11,2024-01-29,2025-03-18,28
323,17,2024-02-19,2025-01-23,90
324,23,2024-01-21,2025-01-27,36
325,48,2024-04-01,2024-05-28,77
326,85,2024-02-09,2024-06-26,16
327,96,2024-03-12,2024-12-26,86
328,39,2024-04-11,2024-12-18,94
329,58,2024-01-31,2024-11-06,20
330,30,2024-02-21,2024-07-14,28
331,32,2024-01-01,2024-09-30,53
332,66,2024-01-19,2024-05-29,45
333,73,2024-04-08,2025-03-24,18
334,13,2024-03-21,2024-07-24,31
335,78,2024-02-24,2024-10-05,90
336,7,2024-01-18,2024-06-29,20
337,39,2024-03-30,2024-10-05,41
338,48,2024-02-25,2024-06-29,78
339,90,2024-02-06,2024-07-08,92
340,66,2024-03-18,2024-04-20,5
341,9,2024-02-29,2024-07-22,64
342,75,2024-04-04,2024-09-18,55
343,14,2024-02-09,2024-08-14,74
344,8,2024-02-20,2025-02-12,19
345,78,2024-03-15,2024-11-17,45
346,33,2024-02-23,2025-04-14,23
347,18,2024-01-19,2025-01-16,34
348,29,2024-02-23,2024-11-16,40
349,60,2024-01-04,2025-01-15,61
350,71,2024-04-13,2024-08-09,95
351,10,2024-02-28,2024-08-30,5
352,88,2024-03-16,2025-02-04,36
353,19,2024-01-19,2024-11-10,72
354,92,2024-02-13,2024-07-15,43
355,100,2024-02-03,2024-06-12,46
356,39,2024-04-05,2024-12-26,39
357,78,2024-01-14,2024-10-13,56
358,36,2024-01-04,2024-08-25,15
359,7,2024-03-05,2024-05-31,51
360,37,2024-02-04,2025-03-22,97
361,36,2024-03-02,2024-08-07,42
362,66,2024-01-06,2024-08-02,44
363,63,2024-03-31,2024-07-11,10
364,62,2024-04-04,2024-07-05,23
365,6,2024-01-26,2024-09-21,11
366,24,2024-02-13,2025-01-19,63
367,98,2024-01-06,2024-05-03,77
368,89,2024-02-05,2024-08-14,72
369,1,2024-01-10,2024-11-24,10
370,48,2024-02-13,2024-05-19,31
371,80,2024-01-13,2024-09-15,24
372,68,2024-03-11,2024-11-04,53
373,14,2024-04-15,2024-08-19,71
374,37,2024-01-15,2024-12-17,43
375,68,2024-01-14,2025-02-05,2
376,98,2024-04-16,2025-03-12,86
377,5,2024-04-13,2025-01-29,86
378,22,2024-03-29,2024-04-21,23
379,14,2024-01-14,2024-10-23,94
380,76,2024-02-29,2024-09-22,3
381,93,2024-01-12,2025-02-10,7
382,39,2024-02-26,2025-03-19,93
383,65,2024-01-01,2024-09-22,80
384,9,2024-04-12,2025-02-16,24
385,16,2024-02-21,2025-01-22,25
386,62,2024-02-23,2024-11-08,46
387,57,2024-03-15,2024-10-11,44
388,57,2024-03-02,2024-05-08,8
389,30,2024-03-13,2024-08-07,31
390,1,2024-03-19,2024-08-09,26
391,22,2024-01-11,2025-01-18,88
392,7,2024-02-29,2024-04-22,37
393,81,2024-01-07,2024-12-12,84
394,6,2024-03-31,2025-03-29,34
395,57,2024-03-26,2024-07-11,81
396,86,2024-03-21,2024-12-23,43
397,64,2024-03-18,2024-10-19,37
398,84,2024-04-13,2025-03-03,18
399,38,2024-01-05,2024-05-08,96
400,39,2024-04-05,2024-11-24,55
401,96,2024-03-25,2024-12-04,53
402,49,2024-02-12,2024-05-02,76
403,73,2024-02-01,2024-05-02,17
404,48,2024-02-22,2025-01-15,89
405,1,2024-03-12,2024-04-17,32
406,3,2024-01-21,2024-05-13,78
407,27,2024-01-17,2025-03-22,8
408,62,2024-03-02,2024-05-27,98
409,56,2024-03-07,2024-11-22,85
410,100,2024-01-04,2024-07-13,71
411,20,2024-04-15,2025-02-25,96
412,89,2024-04-06,2024-04-18,100
413,46,2024-03-26,2024-11-24,92
414,59,2024-03-04,2025-02-27,50
415,7,2024-02-09,2024-07-22,77
416,3,2024-04-04,2025-02-09,10
417,93,2024-03-03,2024-11-20,31
418,75,2024-03-31,2024-05-31,87
419,61,2024-03-18,2025-01-26,8
420,19,2024-02-18,2024-08-11,22
421,69,2024-01-24,2024-08-08,4
422,49,2024-02-18,2025-02-12,56
423,87,2024-01-22,2024-05-16,84
424,24,2024-01-17,2025-01-11,58
425,23,2024-02-05,2024-08-25,32
426,21,2024-02-27,2025-04-16,63
427,34,2024-01-28,2024-09-27,69
428,78,2024-04-01,2024-09-15,34
429,26,2024-02-19,2024-06-15,74
430,43,2024-03-25,2024-11-03,14
431,96,2024-02-09,2024-11-01,12
432,75,2024-01-27,2024-08-29,96
433,85,2024-02-20,2024-12-06,13
434,14,2024-01-31,2024-08-02,26
435,11,2024-03-01,2024-09-24,99
436,26,2024-03-05,2025-02-25,42
437,44,2024-02-03,2024-10-12,39
438,30,2024-01-04,2024-07-03,64
439,65,2024-02-02,2025-03-21,9
440,14,2024-01-11,2025-03-25,72
441,13,2024-03-24,2024-06-24,57
442,37,2024-02-25,2024-04-24,5
443,41,2024-03-18,2024-11-09,67
444,93,2024-01-17,2024-10-06,42
445,77,2024-02-15,2025-03-29,50
446,97,2024-04-06,2024-09-21,70
447,37,2024-04-15,2025-01-24,18
448,41,2024-04-16,2024-04-27,75
449,72,2024-03-01,2024-08-15,65
450,43,2024-02-24,2024-07-26,97
451,85,2024-01-07,2024-11-06,80
452,89,2024-01-07,2024-12-14,82
453,86,2024-03-12,2025-01-11,43
454,76,2024-02-26,2025-03-30,93
455,38,2024-03-15,2025-03-07,46
456,42,2024-01-14,2025-02-11,88
457,26,2024-04-09,2025-03-07,10
458,6,2024-04-05,2024-05-12,54
459,99,2024-04-13,2024-09-04,75
460,92,2024-01-17,2024-05-22,71
461,82,2024-04-08,2024-10-01,69
462,86,2024-01-23,2024-05-04,27
463,99,2024-02-22,2024-07-25,54
464,39,2024-03-20,2025-01-15,68
465,75,2024-01-05,2024-12-08,67
466,78,2024-03-17,2024-12-14,54
467,13,2024-02-19,2024-11-14,44
468,37,2024-01-27,2025-02-15,79
469,57,2024-01-30,2025-01-25,92
470,97,2024-01-16,2024-11-20,51
471,28,2024-03-17,2024-08-01,83
472,100,2024-02-08,2024-12-18,54
473,4,2024-01-20,2024-08-22,36
474,28,2024-01-05,2025-03-12,47
475,65,2024-01-30,2024-05-23,99
476,94,2024-01-27,2024-09-21,33
477,7,2024-03-22,2025-01-11,97
478,96,2024-02-01,2024-09-19,20
479,27,2024-01-25,2024-12-22,55
480,60,2024-01-12,2024-07-07,85
481,75,2024-01-25,2024-11-13,92
482,9,2024-01-28,2024-12-20,35
483,25,2024-02-19,2024-07-16,36
484,56,2024-02-22,2024-10-16,35
485,48,2024-03-05,2024-05-12,57
486,57,2024-01-03,2024-05-21,13
487,27,2024-04-05,2025-03-30,2
488,88,2024-04-09,2025-02-07,63
489,17,2024-02-01,2025-03-29,14
490,31,2024-01-18,2024-08-17,34
491,40,2024-01-17,2024-12-14,27
492,32,2024-02-01,2024-07-15,45
493,100,2024-03-09,2024-09-08,73
494,90,2024-02-17,2024-08-13,84
495,51,2024-01-13,2024-09-18,5
496,96,2024-03-17,2024-11-27,89
497,95,2024-02-07,2024-08-26,30
498,31,2024-03-18,2024-07-13,60
499,11,2024-03-22,2024-11-27,16
500,20,2024-01-01,2024-11-18,86
501,66,2024-01-06,2024-09-28,85
502,41,2024-03-11,2024-04-23,42
503,77,2024-03-31,2024-08-06,68
504,12,2024-01-18,2024-06-13,97
505,67,2024-03-06,2024-05-07,41
506,49,2024-01-03,2024-09-26,19
507,38,2024-01-21,2024-11-20,28
508,58,2024-04-13,2024-06-10,93
509,62,2024-03-15,2024-12-17,85
510,86,2024-04-03,2024-09-08,14
511,51,2024-03-25,2025-01-30,74
512,33,2024-01-22,2024-08-31,17
513,92,2024-04-03,2025-01-04,37
514,69,2024-02-06,2024-05-31,32
515,90,2024-04-08,2024-09-01,86
516,55,2024-01-25,2024-09-29,83
517,52,2024-01-08,2025-04-11,18
518,84,2024-02-22,2024-11-30,18
519,96,2024-03-31,2025-01-19,81
520,24,2024-02-16,2024-08-03,83
521,97,2024-02-25,2024-09-03,52
522,44,2024-02-12,2024-10-22,52
523,81,2024-01-19,2025-02-05,58
524,38,2024-03-11,2024-07-04,60
525,24,2024-01-31,2024-07-10,98
526,16,2024-02-11,2025-03-06,53
527,77,2024-01-16,2024-05-31,2
528,32,2024-03-25,2024-11-21,84
529,20,2024-04-13,2024-12-22,100
530,28,2024-02-14,2024-06-13,17
531,18,2024-03-13,2025-02-14,4
532,20,2024-02-28,2024-12-11,65
533,53,2024-02-13,2024-09-17,21
534,48,2024-03-06,2025-04-02,53
535,27,2024-04-08,2025-04-04,31
536,35,2024-03-13,2024-05-09,59
537,39,2024-04-03,2025-01-01,23
538,22,2024-04-01,2024-06-24,30
539,87,2024-04-13,2025-04-11,20
540,5,2024-03-23,2024-12-05,68
541,13,2024-02-01,2024-06-03,72
542,68,2024-02-07,2024-07-23,98
543,99,2024-01-03,2024-07-13,96
544,86,2024-01-29,2024-04-27,33
545,59,2024-04-12,2024-08-08,1
546,35,2024-01-07,2024-08-02,36
547,71,2024-01-07,2025-01-05,86
548,54,2024-03-20,2024-12-19,13
549,23,2024-04-11,2024-08-20,15
550,9,2024-03-06,2024-10-16,99
551,100,2024-03-04,2025-01-22,60
552,84,2024-01-15,2025-03-30,42
553,46,2024-03-16,2024-12-23,50
554,91,2024-02-29,2024-08-17,1
555,8,2024-03-30,2024-07-15,66
556,72,2024-02-03,2024-09-02,56
557,65,2024-02-11,2024-12-28,63
558,86,2024-02-25,2024-12-14,25
559,99,2024-03-18,2024-12-17,88
560,59,2024-03-03,2024-06-28,93
561,49,2024-01-23,2024-06-04,11
562,93,2024-02-29,2024-05-30,3
563,25,2024-03-20,2024-05-04,70
564,17,2024-01-27,2024-09-22,40
565,23,2024-01-01,2024-06-29,24
566,51,2024-03-09,2024-09-30,30
567,22,2024-03-31,2024-07-12,68
568,90,2024-04-07,2024-04-21,9
569,99,2024-03-16,2024-04-26,65
570,41,2024-02-23,2024-07-02,31
571,25,2024-03-05,2024-06-03,21
572,20,2024-01-01,2024-05-30,9
573,19,2024-04-11,2024-07-08,32
574,37,2024-03-04,2025-02-17,73
575,70,2024-03-05,2024-07-24,25
576,5,2024-01-14,2025-01-28,20
577,24,2024-02-04,2024-12-28,60
578,19,2024-01-12,2025-04-15,51
579,98,2024-02-08,2024-06-20,31
580,96,2024-03-25,2024-09-03,78
581,52,2024-01-11,2025-04-12,45
582,74,2024-03-22,2024-06-08,83
583,24,2024-02-24,2025-02-05,32
584,30,2024-04-09,2025-01-06,97
585,16,2024-03-07,2024-12-07,91
586,70,2024-03-13,2024-08-24,32
587,54,2024-02-16,2024-10-01,63
588,96,2024-01-05,2024-12-08,29
589,46,2024-04-04,2024-06-13,61
590,2,2024-01-19,2025-01-06,49
591,55,2024-01-23,2024-12-04,2
592,27,2024-03-09,2024-08-13,78
593,26,2024-02-05,2024-11-24,78
594,77,2024-01-16,2024-11-21,72
595,24,2024-01-29,2024-08-31,5
596,41,2024-02-19,2024-06-27,84
597,16,2024-02-05,2025-01-24,48
598,83,2024-02-23,2024-05-14,55
599,35,2024-01-16,2025-03-16,48
600,42,2024-01-05,2024-08-29,93
601,19,2024-01-26,2024-07-18,89
602,93,2024-01-09,2024-11-03,13
603,33,2024-03-04,2024-05-21,90
604,63,2024-04-11,2025-01-10,21
605,47,2024-02-21,2025-03-24,14
606,29,2024-01-06,2025-04-16,82
607,24,2024-03-11,2024-05-02,94
608,53,2024-03-22,2024-06-22,55
609,60,2024-03-19,2024-06-06,63
610,59,2024-03-02,2024-09-24,19
611,33,2024-01-04,2025-04-10,75
612,81,2024-03-27,2024-11-05,22
613,97,2024-04-04,2025-02-18,65
614,74,2024-02-10,2024-12-04,49
615,45,2024-02-13,2025-02-24,66
616,75,2024-02-10,2024-04-24,19
617,74,2024-03-14,2024-12-21,73
618,56,2024-01-27,2025-03-01,49
619,95,2024-01-05,2024-05-05,10
620,34,2024-03-13,2025-04-03,4
621,36,2024-01-05,2024-08-31,36
622,23,2024-01-27,2025-01-23,36
623,87,2024-02-06,2024-12-19,44
624,73,2024-04-10,2024-05-15,67
625,97,2024-01-03,2025-03-25,63
626,38,2024-01-31,2024-12-03,83
627,80,2024-02-24,2024-06-07,18
628,5,2024-02-22,2024-09-21,100
629,35,2024-02-06,2024-11-04,93
630,48,2024-04-09,2024-09-17,63
631,26,2024-03-23,2025-03-06,14
632,19,2024-01-31,2025-03-16,1
633,28,2024-04-08,2024-08-13,87
634,5,2024-02-23,2024-04-23,13
635,9,2024-02-24,2024-12-07,98
636,46,2024-04-10,2024-07-31,62
637,69,2024-02-16,2025-02-17,75
638,85,2024-03-23,2024-08-22,65
639,13,2024-02-03,2024-05-16,72
640,49,2024-01-08,2024-10-10,72
641,28,2024-03-24,2024-08-05,82
642,76,2024-02-13,2024-10-15,88
643,25,2024-03-31,2024-06-19,53
644,76,2024-02-18,2025-01-04,58
645,62,2024-01-14,2024-11-22,61
646,13,2024-03-28,2024-10-24,38
647,97,2024-02-21,2024-06-15,14
648,49,2024-02-27,2024-09-18,42
649,71,2024-04-11,2024-10-29,67
650,74,2024-03-11,2024-11-06,90
651,8,2024-01-27,2024-05-10,20
652,80,2024-02-09,2024-10-27,42
653,37,2024-02-08,2024-04-24,53
654,91,2024-03-31,2024-11-19,76
655,38,2024-02-12,2025-01-22,1
656,39,2024-01-30,2024-11-28,74
657,55,2024-02-13,2025-04-16,3
658,20,2024-02-11,2024-04-25,54
659,64,2024-03-05,2024-08-08,2
660,53,2024-04-08,2024-12-30,92
661,57,2024-02-06,2024-05-05,51
662,66,2024-03-15,2024-12-16,95
663,5,2024-02-26,2024-10-22,93
664,11,2024-01-02,2024-07-15,74
665,33,2024-03-08,2025-03-27,1
666,65,2024-03-30,2024-09-08,23
667,91,2024-03-25,2024-11-24,67
668,43,2024-01-18,2024-11-03,14
669,75,2024-01-16,2024-07-21,77
670,95,2024-01-24,2025-01-09,12
671,43,2024-01-21,2024-05-29,60
672,86,2024-03-10,2024-12-24,10
673,39,2024-04-15,2024-08-24,71
674,43,2024-02-29,2024-06-29,10
675,80,2024-01-23,2024-11-01,72
676,64,2024-04-08,2025-01-07,9
677,18,2024-02-12,2025-03-07,13
678,77,2024-02-05,2024-10-09,8
679,25,2024-02-08,2024-05-21,59
680,87,2024-03-31,2025-03-06,78
681,3,2024-01-02,2024-05-16,40
682,67,2024-01-15,2024-05-07,12
683,81,2024-02-23,2024-11-12,100
684,64,2024-02-20,2024-10-11,6
685,87,2024-02-16,2025-01-24,54
686,34,2024-02-03,2024-09-20,83
687,71,2024-01-22,2024-04-28,59
688,41,2024-02-06,2024-12-04,4
689,24,2024-02-01,2024-07-11,41
690,40,2024-03-29,2024-07-26,84
691,27,2024-03-25,2024-06-21,91
692,22,2024-03-21,2024-07-19,18
693,17,2024-02-11,2024-10-25,40
694,67,2024-02-12,2024-09-10,89
695,16,2024-03-11,2025-01-01,58
696,18,2024-02-13,2024-07-07,56
697,35,2024-01-13,2024-04-19,95
