purchase_order_id,inventory_id,cantidad,precio_unitario,descuento
693,233,24,22,0
113,234,51,295,0.2
900,235,13,433,0.3
405,236,74,827,0.2
685,237,52,505,0.3
884,238,19,514,0.2
604,239,87,25,0.3
376,240,12,344,0.2
686,241,22,40,0.2
452,242,63,319,0.1
728,243,14,306,0.2
854,244,33,96,0
596,245,52,995,0.4
921,246,37,921,0
529,247,100,501,0.2
341,248,94,818,0.3
338,249,3,448,0.1
76,250,28,517,0.1
8,251,36,797,0.2
695,252,43,872,0
427,253,44,376,0.2
250,254,86,128,0.1
352,255,22,8,0.1
728,256,42,201,0.2
5,257,89,216,0.4
550,258,57,477,0.3
709,259,90,293,0.3
562,260,13,617,0.1
471,261,37,799,0.2
423,262,90,965,0.3
105,263,52,668,0.4
258,264,24,15,0.2
84,265,66,381,0.2
880,266,83,16,0
987,267,24,270,0.1
243,268,45,632,0.4
199,269,88,25,0.4
476,270,56,304,0.3
387,271,25,922,0.4
999,272,16,204,0.4
59,273,25,473,0.4
479,274,85,285,0.4
67,275,8,636,0
161,276,38,242,0.3
566,277,4,579,0.3
714,278,44,110,0.3
466,279,13,39,0.2
553,280,68,864,0.3
783,281,54,8,0.1
34,282,28,184,0.2
90,283,37,563,0.1
525,284,85,705,0.4
995,285,22,435,0
212,286,12,301,0.1
620,287,6,272,0.4
885,288,81,248,0.2
907,289,28,978,0.2
212,290,17,500,0.1
580,291,95,207,0.4
60,292,58,151,0.3
714,293,86,903,0.1
444,294,60,426,0
295,295,97,395,0
65,296,75,377,0.1
661,297,17,615,0.2
572,298,99,809,0.4
215,299,28,773,0.1
689,300,27,491,0.3
64,301,89,890,0.4
567,302,84,634,0
901,303,46,250,0
396,304,2,636,0.3
844,305,28,34,0.2
69,306,74,645,0
267,307,90,69,0.3
649,308,49,149,0.1
639,309,21,740,0.2
292,310,84,982,0.4
253,311,9,80,0.2
751,312,28,966,0.1
610,313,78,214,0.3
276,314,32,640,0
544,315,3,912,0.1
150,316,29,829,0.4
429,317,60,789,0.3
635,318,28,120,0.3
936,319,40,35,0
48,320,37,722,0.3
755,321,73,590,0.2
601,322,2,278,0.1
604,323,64,841,0
914,324,14,842,0.2
10,325,67,638,0
693,326,35,468,0.4
902,327,66,486,0
519,328,95,344,0.2
301,329,75,28,0.4
916,330,25,874,0
643,331,80,729,0.3
920,332,70,243,0.4
763,333,19,530,0.1
28,334,32,152,0.3
401,335,57,765,0
806,336,57,298,0.1
453,337,82,139,0.2
308,338,54,320,0.4
162,339,44,846,0
833,340,17,666,0.1
140,341,30,167,0.2
701,342,74,149,0.2
440,343,75,745,0.3
945,344,29,686,0.4
592,345,82,307,0.4
534,346,4,49,0
83,347,84,190,0.4
589,348,64,416,0.1
88,349,1,246,0.4
93,350,6,472,0.4
541,351,27,314,0.4
716,352,47,886,0
234,353,5,923,0
641,354,1,968,0.3
186,355,19,980,0
94,356,17,181,0
366,357,86,954,0.3
73,358,50,948,0.4
181,359,59,196,0.4
769,360,72,413,0.1
888,361,99,795,0.3
247,362,42,867,0
661,363,53,891,0.1
223,364,59,661,0.3
139,365,100,736,0
516,366,46,593,0.4
778,367,60,323,0.3
229,368,13,249,0
79,369,72,826,0.2
375,370,32,424,0
67,371,48,317,0.4
38,372,42,899,0.1
588,373,91,124,0.4
741,374,9,785,0
436,375,88,885,0.3
994,376,40,624,0.1
224,377,53,608,0
794,378,23,622,0.2
816,379,75,448,0.2
480,380,43,955,0
598,381,98,771,0
375,382,23,181,0.4
707,383,23,462,0.1
653,384,42,42,0.1
619,385,39,617,0
372,386,17,143,0
247,387,95,969,0.3
309,388,77,591,0.3
592,389,35,888,0.4
599,390,67,689,0.4
417,391,57,438,0.3
784,392,58,700,0.2
926,393,9,387,0
410,394,39,34,0.1
685,395,54,102,0.1
750,396,33,438,0.1
819,397,83,305,0.2
856,398,97,868,0.1
42,399,20,259,0.3
572,400,18,136,0.4
973,401,6,782,0
730,402,52,13,0.4
716,403,42,622,0.1
473,404,12,380,0.2
591,405,25,252,0
317,406,87,335,0.3
378,407,100,882,0.2
97,408,14,5,0.3
559,409,86,868,0.2
108,410,34,620,0.1
544,411,81,597,0.4
992,412,9,402,0.1
273,413,65,867,0.3
110,414,6,949,0.3
533,415,88,511,0.1
300,416,67,13,0.2
550,417,71,980,0.4
845,418,60,572,0
966,419,24,273,0.1
586,420,40,764,0.3
654,421,100,444,0.3
143,422,4,912,0.4
225,423,16,836,0.1
103,424,34,189,0.2
386,425,74,803,0.2
29,426,13,89,0.2
805,427,31,857,0.3
661,428,6,881,0.3
322,429,13,413,0.1
496,430,5,952,0.3
907,431,98,179,0.3
7,432,31,560,0.3
724,433,38,645,0.2
397,434,4,717,0.1
732,435,65,853,0.4
682,436,51,899,0.4
801,437,31,956,0.4
551,438,98,682,0.1
439,439,59,185,0
78,440,72,747,0.1
856,441,43,110,0.3
875,442,63,376,0.4
492,443,78,877,0.2
163,444,76,378,0
782,445,99,605,0.2
248,446,42,80,0.2
314,447,8,304,0.2
910,448,11,52,0.1
817,449,64,881,0.4
87,450,47,7,0.4
473,451,14,869,0.2
340,452,9,488,0.1
330,453,2,781,0.4
943,454,81,387,0
687,455,33,157,0.1
409,456,73,510,0
176,457,11,328,0.1
691,458,96,775,0.3
236,459,75,119,0.2
899,460,50,196,0.1
628,461,36,868,0.4
349,462,94,748,0.2
816,463,25,547,0.3
521,464,59,281,0.1
53,465,88,991,0.2
643,466,91,581,0.1
77,467,35,98,0.4
473,468,12,950,0.2
616,469,65,554,0.2
130,470,69,58,0.4
586,471,14,7,0.4
900,472,58,487,0.1
269,473,22,973,0.3
234,474,40,551,0.3
645,475,2,751,0.3
478,476,82,549,0.4
562,477,51,642,0.1
27,478,67,173,0.3
237,479,52,81,0.3
514,480,3,989,0
72,481,6,516,0.3
288,482,79,726,0.1
97,483,98,104,0.3
153,484,57,697,0.1
180,485,14,500,0.4
385,486,52,667,0.4
655,487,87,236,0.4
651,488,26,520,0.2
938,489,36,732,0.3
614,490,22,744,0.3
102,491,39,539,0.1
495,492,94,956,0.4
197,493,59,167,0.4
104,494,18,350,0.4
180,495,49,531,0.1
634,496,46,10,0
466,497,36,310,0.3
161,498,89,89,0.1
917,499,50,505,0.2
339,500,1,942,0.1
591,501,93,40,0.1
944,502,19,289,0.2
103,503,5,339,0.4
448,504,61,316,0
951,505,18,807,0.1
189,506,69,260,0.4
317,507,2,321,0.4
161,508,24,500,0.1
286,509,42,154,0.2
164,510,44,98,0.1
999,511,15,526,0.4
731,512,98,912,0
912,513,71,493,0
785,514,55,41,0.4
243,515,10,580,0.2
70,516,66,215,0.3
640,517,75,113,0.3
755,518,9,211,0.2
74,519,12,509,0
662,520,96,909,0.2
903,521,52,473,0.4
724,522,3,275,0.2
162,523,67,26,0.2
613,524,77,656,0.1
154,525,70,686,0.3
631,526,95,436,0.3
349,527,74,430,0.1
307,528,3,15,0.2
236,529,66,142,0.4
416,530,91,608,0.3
149,531,94,942,0.3
145,532,57,19,0.1
13,533,51,929,0.2
381,534,17,27,0.1
616,535,42,186,0
195,536,47,33,0.4
568,537,69,31,0.2
830,538,4,32,0.2
753,539,35,332,0.3
487,540,30,541,0.3
963,541,69,583,0.4
703,542,85,262,0
810,543,87,402,0.1
264,544,70,555,0
169,545,50,482,0.4
98,546,10,355,0.1
706,547,34,315,0.1
64,548,91,494,0.2
915,549,43,747,0
154,550,15,47,0.2
117,551,54,138,0.3
775,552,92,70,0.2
595,553,61,609,0
301,554,99,11,0
384,555,46,757,0
130,556,26,792,0.2
275,557,89,74,0.1
502,558,36,590,0.4
998,559,22,33,0.2
272,560,99,786,0.1
327,561,87,941,0.1
605,562,21,853,0.2
224,563,20,674,0.4
104,564,50,564,0.2
552,565,62,628,0.1
644,566,83,817,0.1
64,567,3,32,0.1
811,568,13,413,0
103,569,68,949,0.1
424,570,67,851,0.2
4,571,87,257,0
232,572,3,880,0
44,573,35,238,0.4
428,574,5,480,0
112,575,30,3,0
250,576,92,765,0.4
805,577,5,95,0.1
690,578,49,564,0.2
466,579,74,603,0.3
423,580,98,943,0.3
297,581,100,929,0.4
992,582,51,667,0.1
333,583,94,874,0.4
814,584,56,254,0.2
35,585,69,849,0.1
656,586,38,923,0.1
268,587,89,611,0
701,588,97,802,0.3
705,589,6,14,0.1
954,590,32,867,0.2
365,591,81,478,0.1
277,592,4,500,0.3
372,593,22,731,0
393,594,78,68,0.2
321,595,24,762,0.1
247,596,52,137,0.1
182,597,30,281,0.4
371,598,79,82,0.2
431,599,26,92,0.1
711,600,78,408,0.3
617,601,58,367,0.1
695,602,100,92,0
233,603,40,52,0.1
757,604,8,926,0.4
681,605,75,269,0.3
904,606,81,636,0.3
252,607,92,870,0.3
397,608,12,349,0.3
141,609,41,710,0.4
761,610,36,344,0
568,611,58,53,0.4
940,612,80,282,0.4
841,613,71,47,0
896,614,14,916,0.3
338,615,4,39,0.3
728,616,35,673,0.4
910,617,26,280,0.2
24,618,14,386,0.4
746,619,58,755,0.2
65,620,20,920,0.2
484,621,75,288,0
3,622,58,480,0.3
845,623,35,113,0
927,624,71,565,0.3
409,625,84,977,0.2
383,626,97,368,0.3
829,627,56,460,0.1
769,628,68,760,0.2
901,629,42,520,0.1
371,630,92,910,0.3
81,631,61,210,0.3
778,632,56,113,0
163,633,11,661,0.3
835,634,8,789,0.1
621,635,81,850,0
543,636,57,848,0.3
549,637,53,605,0.2
22,638,94,793,0
99,639,99,17,0.2
86,640,59,307,0.4
724,641,81,304,0.1
731,642,96,111,0.1
56,643,93,219,0.1
657,644,99,597,0.1
75,645,44,251,0.1
879,646,60,745,0
400,647,33,653,0.1
900,648,49,57,0.3
912,649,100,778,0.1
955,650,26,516,0.3
866,651,17,744,0
4,652,95,510,0.1
456,653,35,608,0
512,654,7,291,0.1
668,655,81,128,0.1
720,656,1,862,0.3
142,657,57,108,0.3
228,658,27,506,0.1
400,659,10,697,0.3
195,660,98,423,0
303,661,94,856,0
882,662,51,34,0.2
304,663,27,242,0.2
848,664,82,485,0
22,665,85,98,0
648,666,67,56,0.2
240,667,63,821,0
153,668,90,458,0
61,669,7,385,0.3
945,670,7,193,0.2
443,671,81,579,0.1
767,672,68,766,0.2
648,673,30,604,0
195,674,52,976,0.1
795,675,19,725,0.4
349,676,90,298,0.1
954,677,55,616,0.2
704,678,2,939,0.3
829,679,80,147,0
511,680,45,747,0.4
318,681,12,757,0
14,682,26,197,0.2
648,683,87,123,0.3
315,684,8,140,0.2
30,685,17,284,0.2
623,686,98,480,0
748,687,44,313,0.2
687,688,85,268,0
627,689,46,692,0.4
439,690,26,769,0.1
781,691,42,222,0.1
342,692,37,384,0.3
624,693,49,891,0.3
892,694,35,986,0.3
753,695,43,152,0.1
72,696,36,459,0.1
152,697,11,172,0.4
76,698,37,418,0.4
739,699,51,386,0.1
673,700,30,458,0.2
334,701,21,928,0.2
807,702,54,318,0.4
989,703,87,550,0.4
395,704,25,18,0
358,705,78,615,0.2
886,706,32,818,0
879,707,68,532,0.3
177,708,85,298,0.4
327,709,30,802,0.2
561,710,51,540,0.2
126,711,28,845,0.3
403,712,86,323,0.1
176,713,35,937,0.3
51,714,65,376,0.4
339,715,27,932,0
415,716,48,591,0
597,717,80,760,0.2
347,718,71,717,0
972,719,65,741,0.2
217,720,4,35,0.1
605,721,16,302,0.2
506,722,45,413,0.2
434,723,72,823,0
467,724,61,665,0.2
686,725,88,743,0.2
143,726,66,161,0.2
733,727,15,121,0.2
525,728,8,682,0.2
523,729,30,633,0.1
312,730,34,554,0.3
490,731,31,346,0.4
827,732,39,576,0.3
224,733,90,854,0.4
41,734,79,517,0.2
808,735,97,980,0
311,736,78,870,0.1
807,737,27,547,0.2
179,738,14,471,0.4
113,739,36,124,0.3
339,740,87,231,0
238,741,12,136,0.1
291,742,78,388,0.2
727,743,36,546,0.1
591,744,20,227,0.2
226,745,51,338,0.4
76,746,59,732,0.1
167,747,78,356,0.3
557,748,84,640,0.2
853,749,51,212,0
525,750,47,419,0
902,751,84,499,0.1
124,752,57,753,0.1
156,753,30,848,0
653,754,29,455,0.1
894,755,33,134,0
192,756,41,914,0.2
115,757,40,702,0.1
903,758,95,360,0
607,759,37,100,0.4
899,760,58,461,0.4
64,761,76,509,0
139,762,76,941,0.4
253,763,18,612,0.4
532,764,35,327,0
91,765,94,708,0.1
470,766,1,191,0.4
136,767,55,622,0.2
554,768,81,229,0.1
89,769,29,691,0.4
846,770,79,385,0.4
462,771,19,527,0
944,772,48,505,0.4
25,773,20,402,0
793,774,9,680,0
301,775,22,154,0
582,776,77,66,0.1
246,777,2,479,0.1
641,778,70,702,0.1
228,779,94,232,0.2
694,780,29,680,0.2
380,781,41,816,0.2
614,782,92,408,0.2
688,783,25,193,0.4
283,784,50,152,0.4
218,785,80,205,0.1
147,786,98,223,0
449,787,56,727,0.3
891,788,16,523,0
154,789,81,104,0.1
191,790,51,40,0.4
721,791,69,912,0.4
821,792,85,447,0.2
647,793,43,519,0.4
503,794,23,484,0
340,795,61,161,0.3
230,796,20,389,0.3
729,797,98,797,0.2
299,798,49,269,0.2
962,799,54,172,0.2
329,800,34,701,0
922,801,29,233,0.1
579,802,66,74,0.4
802,803,63,959,0.4
405,804,66,153,0.4
613,805,59,362,0
114,806,56,331,0.4
563,807,44,345,0.1
152,808,37,470,0.4
363,809,64,416,0.1
37,810,10,290,0.2
897,811,93,67,0.3
837,812,68,284,0.1
806,813,36,36,0.4
427,814,80,343,0.1
896,815,64,374,0.2
765,816,80,737,0
85,817,63,49,0.3
5,818,60,892,0.2
965,819,83,161,0.2
324,820,96,138,0.4
747,821,99,559,0.2
843,822,22,158,0.2
174,823,97,884,0
651,824,80,883,0.3
221,825,33,578,0.2
430,826,72,303,0.2
111,827,53,665,0.4
712,828,67,258,0.4
982,829,27,98,0.4
557,830,20,254,0.1
471,831,21,804,0.2
338,832,98,167,0
139,833,29,718,0.1
845,834,32,366,0.2
939,835,21,145,0
524,836,71,341,0.3
386,837,56,528,0.3
261,838,28,372,0.2
860,839,11,984,0.3
959,840,13,611,0.1
34,841,72,682,0.3
70,842,61,423,0.4
198,843,14,575,0.2
441,844,49,616,0.2
574,845,6,664,0.4
448,846,93,394,0.3
552,847,53,158,0.4
918,848,11,945,0.3
351,849,58,302,0.1
528,850,51,371,0.2
244,851,62,551,0.3
330,852,13,832,0.1
328,853,4,9,0.4
698,854,5,20,0.2
749,855,63,480,0.3
649,856,13,589,0.4
466,857,61,580,0.4
603,858,33,464,0
631,859,12,619,0.2
728,860,60,921,0
789,861,71,2,0
264,862,99,596,0.1
793,863,3,819,0.4
709,864,37,183,0
830,865,58,105,0.3
717,866,89,291,0
168,867,11,248,0.3
243,868,13,508,0
147,869,67,377,0.4
165,870,87,751,0.4
255,871,33,234,0
512,872,50,816,0
350,873,37,962,0
806,874,36,928,0.3
688,875,94,520,0.3
850,876,40,297,0.4
726,877,69,601,0.4
705,878,80,22,0.4
189,879,91,828,0.4
300,880,80,945,0.2
54,881,25,57,0.4
837,882,51,508,0.2
389,883,12,970,0.3
334,884,37,254,0.3
67,885,97,746,0.4
329,886,45,938,0.2
721,887,71,19,0
31,888,72,880,0.2
283,889,86,699,0.4
872,890,10,733,0.3
999,891,22,680,0
973,892,98,423,0.2
964,893,31,60,0.3
298,894,45,846,0.2
538,895,61,801,0
754,896,16,249,0.3
210,897,91,987,0.4
699,898,39,941,0.4
40,899,38,515,0
768,900,47,281,0.3
543,901,59,654,0.2
208,902,96,785,0.2
243,903,82,16,0.4
882,904,25,995,0.1
690,905,48,176,0.4
980,906,42,946,0.2
761,907,77,272,0.2
24,908,49,462,0
294,909,15,664,0
187,910,70,324,0.4
509,911,65,682,0.3
218,912,43,424,0.4
791,913,74,193,0.2
105,914,34,974,0.4
812,915,88,336,0
428,916,95,299,0.2
102,917,41,19,0.3
521,918,94,522,0
416,919,17,792,0.2
863,920,41,245,0.3
723,921,78,53,0.1
923,922,5,784,0.1
38,923,81,892,0.1
488,924,99,689,0.3
945,925,94,147,0.1
34,926,59,353,0.3
340,927,21,623,0.3
586,928,67,847,0.3
301,929,62,319,0.1
777,930,31,914,0.4
232,931,35,798,0
153,932,33,340,0.3
959,933,9,250,0.4
37,934,40,561,0.1
301,935,67,614,0.1
537,936,86,196,0.3
567,937,50,640,0
927,938,66,810,0.1
58,939,43,430,0.1
754,940,56,722,0.2
1000,941,95,847,0.4
952,942,73,794,0.2
681,943,81,519,0.2
715,944,89,224,0.4
958,945,84,303,0.1
404,946,75,541,0.3
186,947,11,745,0.3
491,948,58,399,0.1
212,949,92,831,0
268,950,24,248,0
406,951,95,373,0.4
933,952,76,849,0.4
53,953,50,417,0.4
310,954,25,623,0.1
519,955,8,601,0.3
734,956,57,894,0.4
437,957,21,355,0.3
525,958,42,696,0.4
682,959,37,172,0
812,960,5,147,0.2
170,961,41,274,0.3
226,962,77,211,0.2
143,963,7,22,0.1
115,964,38,200,0.2
64,965,48,901,0
560,966,43,562,0.4
179,967,7,496,0.3
590,968,30,913,0.1
900,969,91,62,0.2
790,970,89,255,0.3
697,971,25,254,0.3
472,972,30,874,0.2
559,973,41,959,0.3
46,974,68,296,0.2
1,975,14,286,0
668,976,62,295,0.1
634,977,58,875,0.2
127,978,24,645,0.1
680,979,99,47,0.4
42,980,12,291,0.3
634,981,63,976,0.2
143,982,60,322,0.2
904,983,88,801,0.3
699,984,92,524,0.2
999,985,19,912,0.3
951,986,60,934,0
154,987,80,13,0.4
170,988,86,878,0.4
223,989,94,432,0.4
313,990,44,612,0.1
369,991,65,411,0.1
919,992,22,740,0.1
841,993,58,659,0.4
18,994,31,175,0.1
588,995,23,622,0.2
196,996,95,34,0.2
962,997,18,449,0.3
829,998,41,451,0.3
127,999,30,882,0.3
244,1000,23,817,0.2
847,1001,23,52,0.1
976,1002,94,975,0
27,1003,92,342,0
937,1004,55,525,0.2
543,1005,82,382,0.4
544,1006,25,87,0.2
891,1007,49,388,0.3
803,1008,38,647,0.3
274,1009,5,739,0.4
168,1010,18,74,0.2
929,1011,37,261,0.3
646,1012,84,941,0
607,1013,52,623,0.2
368,1014,87,472,0
263,1015,46,885,0
1000,1016,88,68,0.1
294,1017,23,744,0.3
565,1018,78,887,0.1
114,1019,52,341,0.2
51,1020,94,549,0
222,1021,4,807,0.3
22,1022,39,866,0.2
403,1023,48,55,0
811,1024,79,391,0.1
129,1025,53,404,0.4
437,1026,80,68,0
5,1027,82,89,0
459,1028,50,312,0.4
551,1029,45,643,0
902,1030,88,136,0.3
690,1031,72,112,0
632,1032,9,259,0.2
543,1033,21,788,0.4
62,1034,71,981,0.4
258,1035,2,4,0.4
254,1036,68,182,0.4
514,1037,49,383,0.1
747,1038,68,98,0.3
452,1039,8,810,0.1
247,1040,83,980,0
583,1041,69,839,0.3
955,1042,55,866,0.2
515,1043,84,338,0.4
119,1044,3,314,0
177,1045,31,468,0.3
787,1046,10,873,0.1
907,1047,50,335,0.3
35,1048,20,446,0.3
454,1049,61,763,0.2
841,1050,6,89,0
136,1051,64,866,0
958,1052,23,954,0
707,1053,65,667,0
705,1054,74,51,0.1
763,1055,13,162,0.1
886,1056,81,330,0.1
802,1057,96,1000,0.1
860,1058,1,615,0.3
868,1059,99,427,0.3
85,1060,64,758,0.3
778,1061,24,356,0.2
771,1062,16,433,0.1
625,1063,6,873,0.4
16,1064,25,19,0.4
790,1065,1,933,0.3
385,1066,89,373,0.3
623,1067,22,766,0.1
759,1068,83,625,0.1
263,1069,42,800,0.3
781,1070,50,909,0.3
330,1071,89,301,0.3
545,1072,91,463,0.2
852,1073,61,173,0.3
145,1074,33,867,0.3
23,1075,72,685,0.2
282,1076,32,903,0
106,1077,7,837,0.2
738,1078,33,678,0.2
901,1079,10,716,0.1
322,1080,36,416,0
640,1081,59,968,0.1
891,1082,85,426,0.1
101,1083,27,845,0.1
990,1084,92,921,0.3
915,1085,91,597,0.2
33,1086,98,72,0.2
578,1087,74,701,0
766,1088,21,77,0.3
109,1089,12,813,0
439,1090,25,187,0.4
830,1091,35,671,0.1
44,1092,81,366,0
146,1093,18,795,0
127,1094,36,648,0.1
144,1095,92,856,0.4
733,1096,66,863,0.4
255,1097,64,990,0.2
748,1098,78,269,0.3
924,1099,45,118,0.2
21,1100,56,656,0.4
188,1101,33,963,0
69,1102,80,630,0.4
996,1103,37,479,0
708,1104,56,576,0.2
833,1105,81,232,0.4
322,1106,5,221,0.3
760,1107,53,533,0.1
887,1108,57,65,0
915,1109,55,959,0.2
921,1110,89,334,0
949,1111,23,561,0.2
695,1112,14,223,0
611,1113,81,436,0.1
88,1114,12,520,0
314,1115,87,615,0.3
600,1116,65,3,0
813,1117,30,85,0.2
598,1118,10,394,0.2
909,1119,41,637,0.3
617,1120,69,269,0.4
828,1121,91,179,0.3
996,1122,8,110,0.3
559,1123,82,952,0.3
865,1124,84,787,0.4
881,1125,90,749,0.3
185,1126,17,907,0
977,1127,19,186,0
105,1128,45,919,0.1
209,1129,84,224,0.2
605,1130,60,490,0
181,1131,29,878,0
347,1132,99,965,0.2
535,1133,79,219,0.2
94,1134,92,51,0
666,1135,36,548,0.3
238,1136,91,989,0.2
68,1137,37,804,0.1
491,1138,53,143,0
797,1139,92,963,0.2
518,1140,33,282,0.3
172,1141,9,651,0
753,1142,67,558,0
285,1143,87,129,0
658,1144,19,83,0.3
850,1145,92,589,0.4
173,1146,40,92,0.2
936,1147,74,871,0.2
891,1148,76,849,0
383,1149,4,225,0.4
111,1150,39,43,0.2
198,1151,67,577,0
51,1152,96,468,0.2
546,1153,37,524,0.2
390,1154,71,242,0.1
799,1155,35,28,0.2
422,1156,55,473,0.4
534,1157,15,373,0
391,1158,88,696,0.4
463,1159,45,458,0
580,1160,98,327,0.2
899,1161,50,684,0.3
65,1162,17,839,0.2
707,1163,42,55,0.3
20,1164,90,254,0
146,1165,27,612,0.1
555,1166,60,774,0
789,1167,11,134,0.3
164,1168,55,151,0
136,1169,2,962,0.2
752,1170,18,87,0.1
697,1171,43,766,0.4
272,1172,49,99,0.1
365,1173,33,459,0.4
873,1174,11,808,0.4
718,1175,32,820,0.1
763,1176,62,760,0.4
770,1177,28,495,0.2
797,1178,55,881,0.2
723,1179,18,589,0.2
794,1180,94,67,0.4
437,1181,84,683,0.3
820,1182,6,338,0.3
639,1183,92,389,0
135,1184,12,153,0.2
