inventory_id,purchase_order_id,cantidad,precio_unitario,subtotal
274,533,76,26,953
275,914,70,249,66
276,872,65,373,132
277,490,8,789,4687
278,546,19,190,6735
279,536,58,208,2119
280,291,4,113,4869
281,443,93,888,4196
282,434,40,834,1852
283,70,82,1000,6000
284,465,95,349,9696
285,361,48,164,5001
286,828,54,982,2377
287,571,97,967,7498
288,259,4,752,8341
289,441,2,750,5570
290,101,65,86,2425
291,522,72,573,1578
292,581,38,44,3121
293,89,91,344,250
294,767,16,839,538
295,441,49,609,3113
296,611,60,202,661
297,692,13,508,7659
298,475,16,129,7721
299,834,71,65,3144
300,283,19,320,6784
301,159,97,888,5338
302,764,80,941,6011
303,506,86,55,5244
304,791,61,643,5581
305,810,30,492,6512
306,109,47,397,8110
307,344,64,631,2777
308,514,7,272,2406
309,757,9,129,1513
310,50,20,556,5525
311,1000,37,449,5986
312,562,42,548,6991
313,18,33,214,6908
314,579,39,614,5070
315,338,33,445,8277
316,175,79,957,6878
317,367,43,415,3599
318,598,14,66,4735
319,902,31,34,9506
320,337,13,400,940
321,831,70,282,4102
322,572,32,524,9690
323,547,83,425,6056
324,390,23,940,9140
325,390,39,932,2414
326,933,91,115,8364
327,988,35,954,167
328,303,79,845,5647
329,891,60,804,9202
330,678,17,917,1409
331,39,86,702,2127
332,660,82,561,3912
333,73,59,45,2233
334,735,38,634,7939
335,736,8,156,8889
336,751,81,256,1598
337,747,42,743,2640
338,270,82,760,2987
339,157,6,585,3800
340,715,9,316,2308
341,578,6,65,2508
342,316,98,4,3762
343,551,6,458,2742
344,807,13,638,544
345,329,52,893,6234
346,984,100,363,6008
347,802,79,52,393
348,230,29,428,996
349,153,95,291,6177
350,328,91,415,2018
351,7,72,512,2226
352,421,53,782,6845
353,892,1,139,1869
354,559,20,284,4026
355,981,4,287,2319
356,779,89,51,2499
357,140,23,200,5079
358,851,63,429,8990
359,949,8,977,4208
360,896,45,713,4779
361,968,16,927,4793
362,455,28,849,8780
363,363,93,147,3902
364,63,89,25,9973
365,636,69,445,230
366,237,54,679,490
367,128,97,541,5887
368,128,38,610,4197
369,143,6,970,897
370,832,76,38,8087
371,552,29,65,7475
372,454,8,818,3813
373,603,59,659,5790
374,524,24,332,1002
375,537,6,110,2069
376,498,62,9,7273
377,930,80,766,9615
378,439,28,804,9316
379,445,7,381,267
380,928,27,804,6216
381,498,32,778,4257
382,550,67,191,5697
383,21,87,71,9761
384,616,48,59,2311
385,174,73,848,8753
386,197,41,275,8602
387,689,86,915,5515
388,211,9,994,7968
389,433,24,243,6118
390,422,99,30,1048
391,335,40,489,573
392,591,18,4,8545
393,791,8,173,9254
394,314,59,338,2891
395,729,18,421,7605
396,862,60,350,8877
397,713,93,637,379
398,110,23,424,2592
399,551,39,831,6810
400,115,45,466,4551
401,22,62,385,2340
402,691,11,997,4438
403,600,27,986,71
404,23,53,831,8501
405,700,85,866,7085
406,355,14,234,9666
407,473,96,78,5438
408,222,74,940,4479
409,147,77,614,8415
410,677,18,773,3831
411,845,53,76,3223
412,221,68,728,1241
413,963,76,898,2392
414,758,67,608,2603
415,462,58,835,1137
416,507,66,310,9185
417,262,28,901,1987
418,102,91,46,7392
419,241,22,664,3214
420,596,11,410,4717
421,89,13,348,7277
422,364,98,259,2830
423,330,9,921,1905
424,602,79,798,3580
425,153,46,302,1980
426,470,54,750,6311
427,68,74,996,8336
428,978,77,333,1433
429,363,27,575,6347
430,694,30,621,6542
431,492,25,475,5300
432,620,30,437,4112
433,636,98,903,748
434,325,86,854,5437
435,407,88,583,7580
436,276,20,196,8723
437,623,56,35,4014
438,544,12,721,1611
439,528,21,180,7512
440,632,4,266,8198
441,596,93,637,9333
442,198,93,590,4104
443,513,34,605,3256
444,994,3,81,3084
445,565,32,458,442
446,573,17,125,9569
447,860,28,395,4856
448,387,43,56,4487
449,624,77,955,3388
450,337,60,734,8628
451,493,70,883,3751
452,128,89,894,1980
453,652,13,423,8205
454,421,86,269,2543
455,377,87,285,3213
456,352,86,500,3259
457,304,72,5,6333
458,821,26,252,3798
459,279,31,403,2744
460,613,65,320,2515
461,2,88,866,201
462,403,28,409,2392
463,328,1,143,362
464,963,36,872,9151
465,314,66,305,9522
466,612,98,418,228
467,873,82,995,192
468,403,66,461,7988
469,131,96,707,2171
470,903,74,373,61
471,463,35,592,8748
472,13,69,370,9075
473,493,35,457,5794
474,900,30,705,7120
475,91,23,758,5824
476,493,96,785,5134
477,321,98,11,5415
478,352,42,677,6714
479,325,93,576,1017
480,406,91,62,2442
481,654,21,530,8836
482,802,80,245,2826
483,646,99,698,5335
484,484,58,310,5007
485,963,29,706,1129
486,1000,3,132,8465
487,632,23,306,3847
488,423,31,265,1140
489,967,95,389,3458
490,669,56,864,8381
491,48,69,100,7944
492,590,91,68,6499
493,643,38,407,5085
494,74,88,701,7871
495,476,13,137,8902
496,467,54,441,718
497,897,91,495,1976
498,250,17,46,7755
499,776,74,964,5497
500,868,52,636,8931
501,897,100,188,9383
502,741,61,434,90
503,960,65,680,1088
504,353,42,550,2806
505,829,54,548,7294
506,62,24,718,6948
507,384,67,590,9343
508,79,72,397,5854
509,732,97,40,8746
510,221,12,506,2937
511,522,23,364,7416
512,373,78,482,2534
513,271,42,232,8956
514,583,15,900,4920
515,570,52,6,7269
516,966,64,476,8128
517,878,15,613,2149
518,353,33,43,7801
519,392,99,998,2859
520,677,53,8,1187
521,16,77,859,358
522,143,20,13,7162
523,594,57,939,4706
524,566,26,194,9114
525,300,51,296,865
526,162,22,104,7345
527,535,81,836,3013
528,311,27,773,4504
529,70,13,99,7651
530,22,6,234,1700
531,759,78,497,2675
532,784,38,309,5544
533,765,43,96,5900
534,26,9,614,7662
535,407,21,952,193
536,317,8,118,9414
537,989,38,294,3176
538,739,59,754,3117
539,470,11,415,1587
540,908,12,545,6978
541,551,33,423,1966
542,32,28,571,4250
543,72,71,50,9778
544,626,85,279,6028
545,773,61,311,5149
546,818,96,563,9189
547,477,73,619,122
548,970,66,147,8110
549,529,45,513,8587
550,889,10,177,3471
551,545,63,26,7232
552,638,55,153,6132
553,939,91,300,3034
554,736,70,130,9337
555,689,86,130,5209
556,331,34,345,334
557,192,38,954,8673
558,573,86,223,6395
559,829,96,648,9531
560,589,51,776,6367
561,316,1,320,4660
562,319,26,140,6624
563,609,49,577,6692
564,515,74,342,4410
565,160,11,631,3715
566,858,99,318,4004
567,4,100,77,9838
568,678,25,191,2290
569,719,39,672,6840
570,339,26,245,2906
571,992,18,46,4024
572,777,82,141,6103
573,818,37,59,9161
574,3,84,169,3617
575,128,34,705,2413
576,781,53,258,6980
577,309,75,192,4524
578,204,62,793,8771
579,453,61,176,960
580,81,3,560,3751
581,934,27,534,9385
582,624,11,325,6372
583,672,52,874,8004
584,555,51,448,9210
585,669,42,979,3710
586,880,53,483,6746
587,358,12,282,6466
588,24,6,550,3462
589,800,6,657,4709
590,823,88,479,6088
591,799,68,360,1095
592,537,14,311,6909
593,267,3,938,1097
594,224,89,697,3269
595,738,24,703,2242
596,526,44,110,7653
597,606,67,194,7367
598,851,60,3,4584
599,34,50,226,340
600,791,25,96,1505
601,49,63,764,1074
602,801,46,582,3938
603,130,72,592,9384
604,276,23,520,9466
605,44,73,829,7498
606,627,3,666,7059
607,37,77,766,2322
608,581,47,571,28
609,497,66,691,2709
610,626,87,231,1103
611,642,59,623,8238
612,235,83,778,7488
613,712,78,65,7891
614,506,81,111,7509
615,676,74,42,435
616,701,63,281,328
617,942,32,93,9520
618,481,40,305,2904
619,527,45,201,5526
620,433,98,614,4689
621,884,67,521,1777
622,532,26,141,8488
623,410,91,628,787
624,103,54,625,3850
625,860,84,55,3202
626,613,98,307,8758
627,451,83,909,3494
628,946,13,856,7739
629,167,67,78,9517
630,767,45,952,1206
631,100,19,280,3186
632,806,90,393,1307
633,103,57,729,9443
634,230,74,671,5055
635,841,4,240,5997
636,64,47,131,6744
637,405,51,922,6279
638,673,66,110,3429
639,716,97,367,9893
640,364,12,952,3701
641,874,44,174,8329
642,298,1,60,6118
643,197,86,640,3727
644,432,7,449,8069
645,430,55,173,9748
646,883,10,609,5016
647,817,58,231,2755
648,786,12,652,5898
649,162,35,347,3988
650,167,38,737,9251
651,914,63,137,4269
652,902,94,658,566
653,410,64,138,4962
654,58,3,259,9739
655,868,7,881,7269
656,192,6,541,6505
657,700,10,647,4645
658,4,70,2,8235
659,750,95,543,343
660,588,98,384,466
661,587,82,401,4222
662,515,10,225,1817
663,451,44,345,5866
664,638,65,697,7978
665,418,92,18,1594
666,814,100,333,7717
667,59,22,928,7457
668,404,79,833,5324
669,463,39,470,7639
670,670,21,94,3678
671,372,63,158,6659
672,18,36,50,6222
673,993,100,900,4834
674,605,1,642,1840
675,183,89,757,243
676,918,39,500,2129
677,997,47,147,9577
678,880,76,794,6024
679,482,30,151,264
680,698,14,894,3227
681,933,93,355,348
682,201,19,561,3606
683,898,4,575,5338
684,523,6,492,6995
685,639,27,210,2278
686,330,79,285,3083
687,908,40,780,8712
688,180,93,595,7202
689,70,29,783,3440
690,349,1,79,4826
691,803,26,829,8491
692,707,61,277,724
693,652,85,8,9259
694,818,20,292,9150
695,129,43,67,6382
696,261,56,514,9287
697,219,26,270,8848
698,89,38,44,9226
699,950,33,518,9942
700,486,98,604,7167
701,45,14,570,3621
702,419,37,663,1134
703,71,30,773,4373
704,922,3,123,9050
705,915,5,636,244
706,238,74,728,8637
707,431,88,252,6702
708,981,25,325,2991
709,730,49,615,7483
710,119,77,587,8945
711,223,50,355,5155
712,700,94,99,8223
713,514,2,271,368
714,83,92,77,219
715,733,26,715,8585
716,679,61,869,1646
717,276,80,993,6952
718,749,54,29,5566
719,932,67,199,7349
720,732,40,64,7660
721,525,49,536,47
722,403,89,7,6459
723,55,31,341,1609
724,560,36,511,6161
725,229,81,299,4689
726,46,69,569,4344
727,363,29,948,1771
728,690,100,878,4771
729,69,52,446,2097
730,658,96,458,8418
731,166,44,577,1386
732,223,50,734,4800
733,391,21,391,910
734,629,75,714,8553
735,47,73,70,176
736,467,81,296,8083
737,784,90,989,5233
738,242,85,417,2151
739,958,94,117,1640
740,884,90,608,6051
741,550,61,50,6755
742,694,83,409,6864
743,48,41,953,5611
744,195,4,740,4087
745,80,13,337,4422
746,347,1,1,9980
747,99,90,538,8397
748,18,80,226,3682
749,787,68,958,1053
750,686,36,504,2340
751,995,18,946,2576
752,208,40,926,251
753,967,21,558,4716
754,344,75,446,9414
755,574,92,189,7373
756,486,61,522,8044
757,661,18,618,8523
758,215,40,417,7241
759,808,13,828,9000
760,227,97,148,1497
761,455,9,681,4034
762,839,12,843,6210
763,406,95,862,3094
764,242,53,130,4426
765,643,10,309,2701
766,236,8,445,5476
767,100,24,938,8403
768,750,35,745,5325
769,374,98,388,5216
770,929,45,397,8795
771,62,44,357,1169
772,3,75,385,3437
773,119,88,95,8581
774,430,63,748,8031
775,795,62,588,4328
776,233,66,99,2171
777,543,48,358,8349
778,359,80,753,8290
779,183,29,54,6086
780,856,54,591,2214
781,276,74,398,3055
782,462,84,863,6978
783,441,47,699,586
784,945,57,95,301
785,500,43,838,1912
786,139,31,44,5218
787,829,74,60,8834
788,471,57,743,9816
789,264,18,892,9697
790,978,24,222,2996
791,933,53,397,534
792,232,3,559,9225
793,89,64,424,3627
794,539,98,821,9944
795,189,86,68,6641
796,328,62,29,6069
797,831,31,820,5863
798,920,73,238,9711
799,146,51,177,4886
800,680,92,147,6903
801,73,20,129,1245
802,639,13,652,4357
803,603,54,849,6976
804,690,3,508,3265
805,377,4,549,8281
806,595,38,251,4509
807,736,100,866,6363
808,146,24,671,6689
809,225,72,327,293
810,201,92,495,1319
811,857,27,716,1086
812,823,3,263,3204
813,744,56,236,6177
814,898,69,195,471
815,636,80,830,2916
816,56,1,959,6483
817,103,52,980,7670
818,959,83,206,8879
819,515,7,646,7306
820,716,82,758,9910
821,6,1,150,3767
822,920,14,168,9228
823,697,40,61,4307
824,131,87,727,9115
825,554,74,291,2898
826,760,71,76,9273
827,745,85,677,9373
828,160,23,744,4906
829,266,16,234,885
830,556,73,517,6496
831,643,54,13,6538
832,515,61,322,4053
833,11,72,321,3186
834,488,66,280,1523
835,597,30,264,4002
836,65,93,226,5263
837,946,50,254,8650
838,399,77,546,6192
839,220,15,812,4164
840,124,69,965,5880
841,856,40,263,7147
842,368,77,502,7056
843,899,89,483,8675
844,397,54,192,8620
845,916,90,838,4171
846,5,75,243,3039
847,85,64,626,1580
848,968,1,232,4179
849,337,98,327,4397
850,371,61,422,9221
851,357,68,816,783
852,652,52,726,173
853,634,89,106,5274
854,801,6,206,7116
855,28,17,74,8015
856,785,80,93,9347
857,615,66,410,9434
858,737,68,541,5518
859,272,39,729,7028
860,801,13,611,4336
861,672,12,521,4911
862,390,8,275,1878
863,221,90,291,3066
864,188,68,658,5596
865,84,67,747,5474
866,416,100,508,1681
867,24,41,836,5420
868,730,53,528,5716
869,149,31,13,7544
870,636,22,53,3869
871,49,76,806,1068
872,959,57,67,1821
873,774,32,604,9248
874,294,75,405,5583
875,811,22,62,498
876,426,93,498,1433
877,701,77,593,5188
878,666,69,535,5908
879,216,21,385,3246
880,94,76,736,7022
881,834,90,288,4391
882,406,90,460,7352
883,354,96,457,6768
884,725,24,904,361
885,787,73,292,9910
886,210,25,324,6140
887,451,14,554,9822
888,663,95,983,1873
889,984,36,555,6617
890,339,8,894,5895
891,495,18,469,6228
892,889,46,598,99
893,415,57,407,9491
894,138,62,571,2746
895,909,42,887,9397
896,182,59,577,7580
897,831,27,612,4233
898,863,7,961,9014
899,74,74,426,3824
900,444,12,867,3343
901,685,84,959,3397
902,674,9,756,3197
903,437,10,585,9096
904,714,36,458,5984
905,418,88,889,2973
906,274,40,62,7612
907,479,7,839,9508
908,25,97,10,997
909,656,5,759,1719
910,939,63,969,965
911,49,49,441,7473
912,673,91,463,6883
913,190,46,900,1124
914,139,47,947,4777
915,499,56,258,6500
916,276,16,479,8148
917,763,6,522,3601
918,767,40,729,5400
919,686,4,781,70
920,764,99,404,8182
921,983,31,922,5149
922,185,27,521,9689
923,888,57,512,9998
924,907,95,353,1113
925,636,25,401,6349
926,397,75,473,6326
927,889,78,101,8346
928,770,81,564,8209
929,223,13,892,1615
930,78,16,915,3595
931,259,61,824,2612
932,722,92,990,8179
933,783,53,79,6846
934,536,100,851,7011
935,150,19,342,7269
936,626,28,104,3478
937,943,97,717,4224
938,96,96,839,7857
939,710,88,289,6924
940,392,8,637,8757
941,321,51,527,6177
942,34,52,548,1894
943,468,9,855,9282
944,13,24,654,2386
945,612,49,212,4696
946,792,32,226,4055
947,820,12,726,1438
948,175,43,743,8118
949,623,31,768,4521
950,245,79,531,1962
951,632,1,814,4293
952,95,86,748,1896
953,71,38,986,1928
954,451,20,917,9919
955,322,16,774,3824
956,668,29,392,9722
957,373,52,9,4569
958,844,35,924,3569
959,905,42,969,5971
960,570,25,756,7436
961,792,100,453,2815
962,797,64,619,3099
963,428,21,656,7495
964,380,80,247,7557
965,12,15,241,1916
966,123,27,59,8537
967,147,8,699,4840
968,593,94,195,328
969,268,18,372,8718
970,34,14,763,8777
971,289,54,937,2743
972,741,80,650,4880
973,536,62,314,8170
974,171,66,762,1571
975,644,72,285,6499
976,387,53,768,5847
977,684,49,672,6820
978,60,4,631,7674
979,154,53,171,3558
980,588,18,85,3109
981,668,67,818,3604
982,191,58,463,823
983,113,80,152,6156
984,275,34,653,9415
985,190,21,65,1663
986,668,34,834,8547
987,291,58,534,5908
988,873,99,218,4273
989,159,52,342,6810
990,251,41,324,9820
991,436,97,105,7257
992,791,17,418,8831
993,780,51,873,7224
994,841,59,765,6310
995,430,33,995,3989
996,321,16,826,5470
997,153,40,282,3143
998,651,74,531,5643
999,759,41,14,7438
1000,711,55,253,5481
1001,994,47,590,7245
1002,527,15,301,5776
1003,943,99,739,7811
1004,223,85,616,5998
1005,628,43,93,4133
1006,291,12,432,3825
1007,107,47,715,5360
1008,221,44,705,6455
1009,328,58,89,1428
1010,482,58,557,9831
1011,942,27,883,3180
1012,438,45,904,8401
1013,820,87,820,2150
1014,977,9,545,8871
1015,413,82,270,6681
1016,281,47,985,54
1017,949,50,564,3027
1018,679,9,985,6617
1019,767,13,127,839
1020,128,51,936,6869
1021,864,37,702,4673
1022,980,50,527,2840
1023,511,41,663,9451
1024,544,93,546,4566
1025,911,46,976,1689
1026,980,23,170,8774
1027,200,27,633,799
1028,363,32,258,5840
1029,90,13,849,3297
1030,130,49,604,9302
1031,432,59,393,7135
1032,510,85,193,4623
1033,697,16,809,7916
1034,804,48,452,7533
1035,967,10,389,9872
1036,142,96,64,2814
1037,663,27,340,8016
1038,706,66,945,1422
1039,347,77,537,4566
1040,686,91,518,670
1041,171,74,422,7780
1042,777,8,605,8903
1043,214,93,58,3807
1044,527,73,289,1607
1045,422,52,507,8740
1046,950,83,766,6683
1047,63,98,230,8345
1048,946,87,688,9006
1049,683,91,47,889
1050,390,66,665,3430
1051,911,7,863,9890
1052,211,99,857,4063
1053,327,49,732,1459
1054,855,90,655,4361
1055,204,28,108,2874
1056,154,76,339,1880
1057,650,59,640,9466
1058,993,25,926,4735
1059,993,7,718,7328
1060,397,89,920,2520
1061,440,2,957,229
1062,573,12,362,1277
1063,410,70,95,5954
1064,112,67,338,3908
1065,115,93,93,2464
1066,116,71,477,9801
1067,677,52,543,6264
1068,190,29,830,2035
1069,997,81,821,4387
1070,81,18,848,9401
1071,912,3,442,4469
1072,259,58,846,303
1073,729,60,694,9147
1074,718,37,720,4515
1075,526,72,943,605
1076,360,55,205,9848
1077,121,32,455,2265
1078,418,54,754,3061
1079,555,20,958,2776
1080,540,24,541,3333
1081,30,45,885,7592
1082,871,18,341,7629
1083,396,66,663,5560
1084,694,75,995,3677
1085,43,12,822,3171
1086,684,73,504,4487
1087,836,43,470,315
1088,898,80,135,6594
1089,793,78,921,1530
1090,391,62,262,8082
1091,653,33,718,796
1092,136,54,40,8522
1093,700,23,796,184
1094,318,21,7,4615
1095,864,48,871,4272
1096,363,59,181,2240
1097,852,40,179,7443
1098,261,81,98,9545
1099,175,79,14,6405
1100,525,10,734,8691
1101,887,36,913,3083
1102,292,83,143,4285
1103,748,60,33,4505
1104,735,66,194,8172
1105,790,46,110,2209
1106,412,6,288,8529
1107,341,31,932,4243
1108,318,16,468,8730
1109,633,79,798,7540
1110,402,56,669,3461
1111,944,20,590,768
1112,666,3,829,8199
1113,792,82,349,5074
1114,338,17,206,441
1115,240,73,95,3194
1116,627,50,814,8314
1117,471,99,102,3703
1118,856,61,794,9783
1119,605,20,633,4228
1120,160,78,874,8781
1121,650,80,151,1728
1122,349,14,659,9389
1123,262,10,194,8462
1124,582,98,128,8123
1125,947,44,325,6406
1126,132,29,102,8194
1127,714,5,558,3891
1128,807,95,400,2353
1129,550,35,310,738
1130,591,92,111,4847
1131,165,92,111,6119
1132,302,44,306,9795
1133,455,44,341,3185
1134,632,37,619,8169
1135,869,3,284,3918
1136,253,73,320,6595
1137,986,56,643,4953
1138,460,72,360,9808
1139,118,98,842,4574
1140,556,6,428,3955
1141,833,64,812,187
1142,491,89,591,4777
1143,696,54,194,2819
1144,132,30,863,2605
1145,361,1,172,896
1146,923,91,93,6788
1147,667,94,115,4998
1148,361,3,738,6475
1149,90,32,665,2168
1150,260,69,847,1958
1151,110,19,617,1744
1152,551,98,532,9287
1153,409,60,820,2845
1154,370,48,712,5785
1155,139,85,95,6154
1156,38,22,820,5814
1157,815,74,963,8492
1158,750,74,253,4964
1159,853,60,864,2855
1160,69,95,256,2857
1161,696,7,16,3256
1162,292,40,300,8862
1163,815,27,934,9205
1164,886,68,955,1101
1165,100,89,671,1566
1166,610,93,252,2957
1167,564,60,595,2805
1168,122,44,73,5625
1169,597,48,756,3934
1170,858,8,481,3593
1171,388,80,571,6115
1172,65,7,252,4332
1173,525,40,516,8259
1174,21,28,165,9653
1175,165,27,461,3645
1176,19,83,757,7753
1177,469,66,281,4104
1178,477,49,59,4504
1179,534,12,829,703
1180,434,30,198,1305
1181,971,48,263,3046
1182,666,83,797,3482
1183,123,40,156,5844
1184,300,5,394,14
1185,487,33,576,9724
1186,400,28,382,5764
1187,81,27,832,6319
1188,286,20,579,1763
1189,344,51,496,5633
1190,499,74,411,9640
1191,695,28,600,2317
1192,461,54,714,9085
1193,246,84,34,3377
1194,172,31,323,3813
1195,324,61,304,3174
1196,832,33,204,4719
1197,290,22,421,4067
1198,436,11,577,7907
1199,110,95,867,7658
1200,665,16,529,3567
1201,140,84,390,6754
1202,1,94,602,9058
1203,395,20,719,6429
1204,440,35,668,3287
1205,69,31,141,9954
1206,321,57,102,9548
1207,995,94,49,4191
1208,693,13,482,5690
1209,892,9,860,1399
1210,635,78,523,8026
1211,190,24,18,5216
1212,853,88,397,991
1213,957,56,971,3268
1214,267,36,737,2301
1215,108,11,741,808
1216,496,49,384,4738
1217,92,39,885,2121
1218,905,21,368,9840
1219,47,80,291,9946
1220,79,99,509,4004
1221,48,84,26,4534
1222,460,22,456,1767
1223,245,68,709,7421
1224,864,65,113,5079
1225,607,34,676,366
1226,925,73,197,8718
1227,221,61,588,5228
1228,134,16,237,5836
1229,559,28,738,4101
1230,641,91,322,3038
1231,521,59,227,4248
1232,256,85,324,1930
1233,238,24,25,8669
1234,382,34,28,193
1235,682,66,788,2151
1236,993,99,14,5220
1237,187,39,365,7165
1238,326,2,139,1857
1239,587,64,666,2179
1240,421,93,412,4504
1241,744,55,655,4076
1242,645,46,319,8469
1243,958,97,961,2684
1244,967,16,760,6707
1245,370,32,384,8048
1246,326,60,229,643
1247,527,84,537,6569
1248,571,68,377,3176
1249,744,34,544,5452
1250,257,67,518,8396
1251,197,9,673,1645
1252,929,3,616,6110
1253,177,76,7,2228
1254,435,28,156,6866
